county,dateyear,totalpopulation,total_housing_units
Adams County,1985,268764,104376
Adams County,1986,268643,108677
Adams County,1987,269323,111852
Adams County,1988,269019,112933
Adams County,1989,266771,113086
Adams County,1990,265708,106947
Adams County,1991,273624,107282
Adams County,1992,281385,108074
Adams County,1993,290777,109367
Adams County,1994,300794,111800
Adams County,1995,312593,114742
Adams County,1996,323042,117691
Adams County,1997,332744,120682
Adams County,1998,344024,124925
Adams County,1999,355308,129403
Adams County,2000,351735,128717
Adams County,2001,359437,133917
Adams County,2002,371181,139734
Adams County,2003,377665,144635
Adams County,2004,385945,149648
Adams County,2005,395384,154113
Adams County,2006,407587,157948
Adams County,2007,415915,160651
Adams County,2008,425138,162115
Adams County,2009,436323,162794
Adams County,2010,443711,163259
Adams County,2011,451749,163875
Adams County,2012,460064,164378
Adams County,2013,469477,165984
Adams County,2014,479777,167154
Adams County,2015,489923,168657
Adams County,2016,497673,170132
Alamosa County,1985,13011,5113
Alamosa County,1986,13336,5117
Alamosa County,1987,13427,5126
Alamosa County,1988,13715,5147
Alamosa County,1989,13660,5293
Alamosa County,1990,13630,5254
Alamosa County,1991,13639,5283
Alamosa County,1992,13572,5303
Alamosa County,1993,13657,5357
Alamosa County,1994,13823,5430
Alamosa County,1995,14097,5475
Alamosa County,1996,14322,5651
Alamosa County,1997,14478,5719
Alamosa County,1998,14623,5808
Alamosa County,1999,14822,6019
Alamosa County,2000,15099,6146
Alamosa County,2001,15231,6200
Alamosa County,2002,15266,6246
Alamosa County,2003,15360,6299
Alamosa County,2004,15406,6350
Alamosa County,2005,15395,6392
Alamosa County,2006,15350,6417
Alamosa County,2007,15293,6462
Alamosa County,2008,15346,6510
Alamosa County,2009,15301,6536
Alamosa County,2010,15474,6561
Alamosa County,2011,15679,6600
Alamosa County,2012,15687,6619
Alamosa County,2013,15804,6694
Alamosa County,2014,15845,6727
Alamosa County,2015,15968,6781
Alamosa County,2016,16131,6853
Arapahoe County,1985,381244,153726
Arapahoe County,1986,387244,159313
Arapahoe County,1987,388687,163322
Arapahoe County,1988,386723,165411
Arapahoe County,1989,389502,166846
Arapahoe County,1990,393284,168665
Arapahoe County,1991,403202,169302
Arapahoe County,1992,417681,170329
Arapahoe County,1993,427470,172532
Arapahoe County,1994,436405,175437
Arapahoe County,1995,442539,179635
Arapahoe County,1996,451065,183260
Arapahoe County,1997,459058,186853
Arapahoe County,1998,472399,190785
Arapahoe County,1999,481306,195845
Arapahoe County,2000,490722,198605
Arapahoe County,2001,501671,202264
Arapahoe County,2002,510503,208601
Arapahoe County,2003,516354,213840
Arapahoe County,2004,523715,217147
Arapahoe County,2005,528214,221982
Arapahoe County,2006,536051,226156
Arapahoe County,2007,545882,230285
Arapahoe County,2008,556246,233100
Arapahoe County,2009,566480,236200
Arapahoe County,2010,574819,238566
Arapahoe County,2011,585507,239195
Arapahoe County,2012,595776,239524
Arapahoe County,2013,607145,241472
Arapahoe County,2014,617936,243577
Arapahoe County,2015,629066,245869
Arapahoe County,2016,637254,248692
Archuleta County,1985,5213,3379
Archuleta County,1986,5335,3635
Archuleta County,1987,5265,3869
Archuleta County,1988,5004,3979
Archuleta County,1989,5196,4082
Archuleta County,1990,5393,3951
Archuleta County,1991,5626,4023
Archuleta County,1992,5880,4086
Archuleta County,1993,6177,4193
Archuleta County,1994,6539,4294
Archuleta County,1995,7108,4483
Archuleta County,1996,7928,4731
Archuleta County,1997,8534,4980
Archuleta County,1998,9133,5223
Archuleta County,1999,9570,5536
Archuleta County,2000,10043,6302
Archuleta County,2001,10465,6667
Archuleta County,2002,10700,6967
Archuleta County,2003,10964,7350
Archuleta County,2004,11171,7582
Archuleta County,2005,11402,7836
Archuleta County,2006,11798,8104
Archuleta County,2007,12108,8428
Archuleta County,2008,12074,8652
Archuleta County,2009,11899,8714
Archuleta County,2010,12060,8772
Archuleta County,2011,12003,8818
Archuleta County,2012,12109,8870
Archuleta County,2013,12211,8930
Archuleta County,2014,12258,9011
Archuleta County,2015,12417,9090
Archuleta County,2016,12907,9199
Baca County,1985,4873,2581
Baca County,1986,4587,2603
Baca County,1987,4559,2625
Baca County,1988,4728,2630
Baca County,1989,4629,2587
Baca County,1990,4526,2434
Baca County,1991,4441,2435
Baca County,1992,4302,2438
Baca County,1993,4326,2442
Baca County,1994,4391,2445
Baca County,1995,4428,2452
Baca County,1996,4526,2456
Baca County,1997,4562,2461
Baca County,1998,4531,2471
Baca County,1999,4523,2489
Baca County,2000,4499,2360
Baca County,2001,4447,2352
Baca County,2002,4315,2342
Baca County,2003,4258,2333
Baca County,2004,4166,2327
Baca County,2005,4098,2317
Baca County,2006,4088,2301
Baca County,2007,3993,2287
Baca County,2008,3906,2273
Baca County,2009,3814,2257
Baca County,2010,3795,2248
Baca County,2011,3799,2250
Baca County,2012,3746,2252
Baca County,2013,3679,2252
Baca County,2014,3624,2252
Baca County,2015,3594,2252
Baca County,2016,3557,2252
Bent County,1985,5699,2532
Bent County,1986,5729,2548
Bent County,1987,5432,2561
Bent County,1988,5432,2571
Bent County,1989,5210,2574
Bent County,1990,5027,2332
Bent County,1991,4960,2334
Bent County,1992,5040,2335
Bent County,1993,5350,2337
Bent County,1994,5400,2342
Bent County,1995,5549,2354
Bent County,1996,5623,2373
Bent County,1997,5640,2425
Bent County,1998,5993,2440
Bent County,1999,5996,2463
Bent County,2000,5967,2365
Bent County,2001,5882,2362
Bent County,2002,6203,2353
Bent County,2003,6653,2343
Bent County,2004,6357,2323
Bent County,2005,6261,2312
Bent County,2006,6076,2300
Bent County,2007,5773,2285
Bent County,2008,6008,2271
Bent County,2009,6481,2255
Bent County,2010,6506,2243
